,afterDays,afterUserComment,anonymousFlag,content,creationTime,days,excellent,firstCategory,guid,id,integral,isMobile,isReplyGrade,isTop,mobileVersion,nickname,officialsStatus,orderId,plusAvailable,productColor,productSales,productSize,recommend,referenceId,referenceImage,referenceName,referenceTime,referenceType,referenceTypeId,replies,replyCount,replyCount2,score,secondCategory,status,thirdCategory,title,topped,usefulVoteCount,uselessVoteCount,userClient,userClientShow,userImage,userImageUrl,userImgFlag,userLevelColor,userLevelId,userLevelName,userProvince,vcontent,viewCount
0,10,"{u'forceRead2Writer': False, u'orderId': 0, u'anonymous': 1, u'pin': u'', u'clientType': 4, u'ip': u'', u'created': u'2019-09-17 08:02:06', u'modified': u'2019-09-17 08:02:06', u'status': 1, u'tableNames': {}, u'dealt': 0, u'commentId': 13232937253, u'hAfterUserComment': {u'id': 48795051, u'content': u'很好', u'discussionId': 602502425, u'deviceId': u'352228100439000-e8e8b77bc75d', u'rowKey': u'9048795051', u'port': u'1327'}, u'id': 48795051, u'productId': 7475048}",1,送给朋友做生日礼物的，朋友很喜欢,2019-09-17 07:49:38,10,False,9192,11366a9c-b4b1-4d12-ac41-9cf40f96313d,13232937253,-20,True,False,False,8.2.4,飞***龙,0,0,201,001-超薄款-5只装,[],,True,7475048,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2019-09-07 10:46:36,Product,0,,0,0,5,9196,1,1502,,0,0,0,4,来自京东Android客户端,storage.360buyimg.com/i.imageUpload/c4dfd6bec1fa31333739303432343036353539_sma.jpg,storage.360buyimg.com/i.imageUpload/c4dfd6bec1fa31333739303432343036353539_sma.jpg,1,#e1a10a,105,PLUS会员,,,0
1,0,,1,好用，老公很喜欢,2019-06-18 20:14:49,8,False,9192,1eb99881-8010-439b-adb3-76286b44c589,12908592086,0,True,False,False,8.1.0,1***p,0,0,201,001-超薄款-5只装,[],,True,7475048,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2019-06-10 14:33:01,Product,0,[],3,3,5,9196,1,1502,,0,4,0,2,来自京东iPhone客户端,storage.360buyimg.com/i.imageUpload/31333634313435313236355f7031353632393330303630353438_sma.jpg,storage.360buyimg.com/i.imageUpload/31333634313435313236355f7031353632393330303630353438_sma.jpg,1,#e1a10a,105,PLUS会员,,,0
2,0,,1,好用就不多说了，用了很多种001就这种最喜欢，带着比别的舒服太多了,2019-06-19 16:13:07,13,False,9192,f52035cd-c664-4398-94c1-ce7081dc34c6,12913541812,-20,True,False,False,8.1.0,V***邪,0,0,201,001-超薄款-5只装,[],,True,7475048,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2019-06-06 12:31:04,Product,0,,0,0,5,9196,1,1502,,0,3,0,2,来自京东iPhone客户端,storage.360buyimg.com/i.imageUpload/31383632313736333231315f7031343234393535373635373539_sma.jpg,storage.360buyimg.com/i.imageUpload/31383632313736333231315f7031343234393535373635373539_sma.jpg,1,#e1a10a,105,PLUS会员,,,0
3,0,,1,特别好用,2019-06-17 15:20:18,6,False,9192,159def0f-eb66-4187-9e3d-862b7d3f3e6b,12900837088,0,True,False,False,8.1.0,小***艺,0,0,201,001-超薄款-5只装,[],,True,7475048,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2019-06-11 09:57:11,Product,0,[],1,1,5,9196,1,1502,,0,1,0,4,来自京东Android客户端,storage.360buyimg.com/i.imageUpload/6a645f3561393062616466376465346631353630373537303533373435_sma.jpg,storage.360buyimg.com/i.imageUpload/6a645f3561393062616466376465346631353630373537303533373435_sma.jpg,1,#e1a10a,50,PLUS会员,,,0
4,0,,1,不错不错不错不错，老公非常非常喜欢！,2018-05-28 20:41:48,10,False,9192,23755059-3954-48bb-a37f-fcab19c9c781,11529212512,-20,True,False,False,7.0.4,c***8,0,0,201,12片装,[],标准码,True,4383804,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2018-05-18 07:43:33,Product,0,[],2,2,5,9196,1,1502,,0,3,0,2,来自京东iPhone客户端,storage.360buyimg.com/i.imageUpload/636361726f6c696e67373831353238303638323732363735_sma.jpg,storage.360buyimg.com/i.imageUpload/636361726f6c696e67373831353238303638323732363735_sma.jpg,1,#e1a10a,105,PLUS会员,,,0
5,0,,1,我的他说和她用的很好！！！！！！,2019-09-16 17:07:58,12,False,9192,a5702559-2c55-4cf9-9969-8c3347116a1c,13231288576,-20,False,False,False,,月***月,0,0,201,001-超薄款-5只装,[],,True,7475048,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2019-09-04 14:05:36,Product,0,,0,0,5,9196,1,1502,,0,1,0,0,,storage.360buyimg.com/i.imageUpload/d4c2bbaac8e7d4c231343635303530393536323931_sma.jpg,storage.360buyimg.com/i.imageUpload/d4c2bbaac8e7d4c231343635303530393536323931_sma.jpg,1,#e1a10a,105,PLUS会员,,,0
6,0,,1,一直在用这个牌子，感觉比冈本的好用，很薄而且不干涩,2019-07-30 19:59:44,42,False,9192,4b7aef19-6e66-42ac-a71f-9aeb9b220a73,13068109142,-20,True,False,False,8.1.6,x***b,2,0,201,001-超薄款-5只装,[],,True,7475048,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2019-06-18 00:39:52,Product,0,,0,0,5,9196,1,1502,,0,1,0,4,来自京东Android客户端,storage.360buyimg.com/i.imageUpload/6a645f3761313461366533626463386331333939363030323135313133_sma.jpg,storage.360buyimg.com/i.imageUpload/6a645f3761313461366533626463386331333939363030323135313133_sma.jpg,1,#e1a10a,105,PLUS会员,,,0
7,0,,1,东西非常好，买了很多次，棒棒哒，以后继续支持！,2019-02-16 08:21:48,4,False,9192,e8591b82-2e58-47ed-a83c-28db8992a22d,12456637988,-20,True,False,False,7.2.7,d***u,0,0,201,002-奇迹薄-12只装,[],,True,4383804,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2019-02-12 08:53:36,Product,0,,0,0,5,9196,1,1502,,0,1,0,2,来自京东iPhone客户端,misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg,misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg,0,#e1a10a,105,PLUS会员,,,0
8,0,,1,还没用  应该很好,2019-06-12 12:48:05,3,False,9192,8921b007-c253-48be-825e-1d1c66d1daba,12878031626,0,True,False,False,8.1.0,h***4,0,0,201,002-奇迹薄-2只装,[],,True,4383808,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2019-06-09 20:06:41,Product,0,[],1,1,5,9196,1,1502,,0,0,0,2,来自京东iPhone客户端,storage.360buyimg.com/i.imageUpload/68617070796b6b3133313431333737393636323733333835_sma.jpg,storage.360buyimg.com/i.imageUpload/68617070796b6b3133313431333737393636323733333835_sma.jpg,1,#e1a10a,105,PLUS会员,,,0
9,0,,1,一直在用相模0.02，这次购买了0.01试一下，非常满意。,2019-02-26 11:43:34,51,False,9192,91b5383f-7f1b-495b-8344-82c070bfa3a1,12489180592,-20,True,False,False,7.4.0,F***0,0,0,103,001-超薄款-5只装,[],,True,7475048,jfs/t18928/91/2678814711/113076/52f713a8/5b0695b1N0e73c1cd.jpg,相模sagami超薄避孕套0.01mm5只装 聚氨酯套套男用情趣5只装,2019-01-06 15:02:27,Product,0,[],1,1,5,9196,1,1502,,0,0,0,4,来自京东Android客户端,misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg,misc.360buyimg.com/user/myjd-2015/css/i/peisong.jpg,0,#666666,62,金牌会员,,,0
